txn_id,utr,amount,txn_date,status,settlement_date
65,BC7JZ6LJ8VJY,299,2025-11-02,SUCCESS,2025-11-02
66,LJA27W8AHR88,999,2025-10-29,SUCCESS,2025-10-29
67,NJPR7F3Z42VL,299,2025-10-25,SUCCESS,2025-10-25
68,LM3CG2HCBTL9,1499,2025-10-30,SUCCESS,2025-10-30
69,69JCDRYQHPVX,299,2025-11-01,SUCCESS,2025-11-02
70,Z5XD4KUMZGHH,1499,2025-10-29,SUCCESS,2025-10-29
71,E6ULN9SH3W9D,299,2025-10-25,SUCCESS,2025-10-25
72,R447BKDG9U7M,499,2025-10-30,SUCCESS,2025-10-30
73,5QJ28DVVGMEG,999,2025-10-27,SUCCESS,2025-10-28
74,JVWGALXFKG3T,499,2025-11-01,SUCCESS,2025-11-02
75,CDNTWCFYPKK8,499,2025-10-30,SUCCESS,2025-10-31
76,KUMP59MGZGA6,1499,2025-10-26,SUCCESS,2025-10-26
77,P4N6QFATW7CV,999,2025-10-27,FAILED,2025-10-27
78,MSEKS7DR38GE,999,2025-10-31,SUCCESS,2025-11-01
79,89RB7N6V4F3H,499,2025-10-25,SUCCESS,2025-10-26
80,N54FGNSNDHZ6,199,2025-10-30,FAILED,2025-10-31
